predictor,mecanismo,k_leyenda,bloque,n_entregadas,cobertura,f1_alineado,f1_nativo,accuracy,leyenda
tsvit-pheno,retirada por soporte,14,2,3502,0.772557,0.508293,0.508293,0.74072,"0,1,2,3,4,5,6,7,8,9,11,13,14,16"
tsvit-pheno,retirada por soporte,14,3,4264,0.941696,0.63084,0.63084,0.908537,"0,1,2,3,4,5,6,7,8,10,11,13,15,17"
tsvit-pheno,retirada por soporte,14,4,1263,0.961919,0.5568,0.5568,0.870942,"0,1,2,3,4,6,7,9,10,11,13,14,15,17"
tsvit-pheno,sin mecanismo,14,0,2007,1.0,0.615791,0.615791,0.899352,"0,1,2,3,4,5,6,7,8,9,10,11,14,15"
tsvit-pheno,sin mecanismo,14,1,4259,1.0,0.687899,0.687899,0.91923,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
tsvit-pheno,sin mecanismo,14,2,4533,1.0,0.465884,0.465884,0.735275,"0,1,2,3,4,5,6,7,8,9,11,12,14,16"
tsvit-pheno,sin mecanismo,14,3,4528,1.0,0.674432,0.674432,0.901281,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
tsvit-pheno,sin mecanismo,14,4,1313,1.0,0.562584,0.562584,0.869002,"0,1,2,3,4,5,6,7,8,10,11,12,14,15"
tsvit-pheno,rechazo por confianza,12,0,1897,0.945192,0.692975,0.591055,0.935161,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,12,1,4015,0.94271,0.66547,0.657171,0.944458,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,12,2,3254,0.717847,0.670667,0.618593,0.854026,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,12,3,4271,0.943242,0.722612,0.654104,0.929291,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,12,4,1216,0.926123,0.628478,0.559145,0.907895,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,12,0,1897,0.945192,0.675666,0.675666,0.909331,"0,1,2,3,4,5,6,7,8,10,14,15"
tsvit-pheno,retirada por F1,12,1,4015,0.94271,0.696084,0.696084,0.931258,"0,1,2,3,4,6,7,8,10,11,14,15"
tsvit-pheno,retirada por F1,12,2,3254,0.717847,0.603411,0.603411,0.749232,"0,1,2,3,4,5,6,7,8,11,12,14"
tsvit-pheno,retirada por F1,12,3,4271,0.943242,0.708388,0.708388,0.915008,"0,1,2,3,4,5,6,7,8,10,14,15"
tsvit-pheno,retirada por F1,12,4,1216,0.926123,0.601439,0.601439,0.878289,"0,1,2,3,4,6,7,8,10,11,14,15"
tsvit-pheno,retirada por soporte,12,0,1851,0.922272,0.629604,0.629604,0.903296,"0,1,2,3,4,6,7,9,10,11,13,15"
tsvit-pheno,retirada por soporte,12,1,3974,0.933083,0.633084,0.633084,0.926271,"0,1,2,3,4,6,7,10,11,13,14,15"
tsvit-pheno,retirada por soporte,12,2,3222,0.710788,0.501661,0.501661,0.743327,"0,1,2,3,4,7,8,9,11,13,14,16"
tsvit-pheno,retirada por soporte,12,3,4258,0.940371,0.673244,0.673244,0.908877,"0,1,2,3,4,5,6,7,10,11,13,15"
tsvit-pheno,retirada por soporte,12,4,1250,0.952018,0.599845,0.599845,0.8736,"0,1,2,3,4,6,7,10,11,13,14,15"
tsvit-pheno,sin mecanismo,12,0,2007,1.0,0.663661,0.663661,0.899352,"0,1,2,3,4,5,6,7,8,10,14,15"
tsvit-pheno,sin mecanismo,12,1,4259,1.0,0.690558,0.690558,0.91923,"0,1,2,3,4,6,7,8,10,11,14,15"
tsvit-pheno,sin mecanismo,12,2,4533,1.0,0.543532,0.543532,0.735275,"0,1,2,3,4,5,6,7,8,11,12,14"
tsvit-pheno,sin mecanismo,12,3,4528,1.0,0.697651,0.697651,0.901281,"0,1,2,3,4,5,6,7,8,10,14,15"
tsvit-pheno,sin mecanismo,12,4,1313,1.0,0.594324,0.594324,0.869002,"0,1,2,3,4,6,7,8,10,11,14,15"
tsvit-pheno,rechazo por confianza,10,0,1896,0.944694,0.831549,0.591044,0.935127,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,10,1,3937,0.924395,0.733472,0.663059,0.949708,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,10,2,2940,0.648577,0.666903,0.623874,0.868707,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,10,3,4265,0.941917,0.834337,0.654788,0.929894,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,10,4,1208,0.92003,0.772182,0.556964,0.910596,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,10,0,1896,0.944694,0.810947,0.810947,0.90981,"0,1,2,3,4,6,7,8,10,14"
tsvit-pheno,retirada por F1,10,1,3937,0.924395,0.767746,0.767746,0.934722,"0,1,2,3,4,6,7,8,10,14"
tsvit-pheno,retirada por F1,10,2,2940,0.648577,0.621834,0.621834,0.755442,"0,1,2,3,4,5,6,7,8,14"
tsvit-pheno,retirada por F1,10,3,4265,0.941917,0.821911,0.821911,0.915826,"0,1,2,3,4,6,7,8,10,14"
tsvit-pheno,retirada por F1,10,4,1208,0.92003,0.741896,0.741896,0.88245,"0,1,2,3,4,6,7,8,10,14"
tsvit-pheno,retirada por soporte,10,0,1832,0.912805,0.663792,0.663792,0.906114,"0,1,2,3,4,7,10,11,13,15"
tsvit-pheno,retirada por soporte,10,1,3813,0.895281,0.594996,0.594996,0.924469,"0,1,2,3,6,7,10,11,13,15"
tsvit-pheno,retirada por soporte,10,2,3213,0.708802,0.532763,0.532763,0.742608,"0,1,2,3,4,7,9,11,13,14"
tsvit-pheno,retirada por soporte,10,3,4128,0.911661,0.670627,0.670627,0.907946,"0,1,2,3,6,7,10,11,13,15"
tsvit-pheno,retirada por soporte,10,4,1224,0.932216,0.65496,0.65496,0.877451,"0,1,2,3,4,7,10,11,13,15"
tsvit-pheno,sin mecanismo,10,0,2007,1.0,0.796394,0.796394,0.899352,"0,1,2,3,4,6,7,8,10,14"
tsvit-pheno,sin mecanismo,10,1,4259,1.0,0.764847,0.764847,0.91923,"0,1,2,3,4,6,7,8,10,14"
tsvit-pheno,sin mecanismo,10,2,4533,1.0,0.534433,0.534433,0.735275,"0,1,2,3,4,5,6,7,8,14"
tsvit-pheno,sin mecanismo,10,3,4528,1.0,0.812281,0.812281,0.901281,"0,1,2,3,4,6,7,8,10,14"
tsvit-pheno,sin mecanismo,10,4,1313,1.0,0.732385,0.732385,0.869002,"0,1,2,3,4,6,7,8,10,14"
tsvit-pheno,rechazo por confianza,9,0,1883,0.938216,0.825642,0.594441,0.938396,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,9,1,3935,0.923926,0.838244,0.663055,0.949682,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,9,2,2874,0.634017,0.697269,0.62825,0.871608,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,9,3,4230,0.934187,0.836096,0.657696,0.932624,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,9,4,1182,0.900228,0.76922,0.529102,0.916244,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,9,0,1883,0.938216,0.794386,0.794386,0.909719,"0,1,2,3,4,7,8,10,14"
tsvit-pheno,retirada por F1,9,1,3935,0.923926,0.820281,0.820281,0.934943,"0,1,2,3,4,7,8,10,14"
tsvit-pheno,retirada por F1,9,2,2874,0.634017,0.652516,0.652516,0.763048,"0,1,2,3,4,6,7,8,14"
tsvit-pheno,retirada por F1,9,3,4230,0.934187,0.818577,0.818577,0.916076,"0,1,2,3,4,7,8,10,14"
tsvit-pheno,retirada por F1,9,4,1182,0.900228,0.736522,0.736522,0.886633,"0,1,2,3,4,7,8,10,14"
tsvit-pheno,retirada por soporte,9,0,1832,0.912805,0.737547,0.737547,0.906114,"0,1,2,3,4,7,11,13,15"
tsvit-pheno,retirada por soporte,9,1,3811,0.894811,0.619371,0.619371,0.924692,"0,1,2,3,7,10,11,13,15"
tsvit-pheno,retirada por soporte,9,2,3210,0.70814,0.594335,0.594335,0.743302,"0,1,2,3,4,7,11,13,14"
tsvit-pheno,retirada por soporte,9,3,4093,0.903931,0.652945,0.652945,0.908136,"0,1,2,3,7,10,11,13,15"
tsvit-pheno,retirada por soporte,9,4,1176,0.895659,0.620155,0.620155,0.87585,"0,1,2,3,7,10,11,13,15"
tsvit-pheno,sin mecanismo,9,0,2007,1.0,0.789644,0.789644,0.899352,"0,1,2,3,4,7,8,10,14"
tsvit-pheno,sin mecanismo,9,1,4259,1.0,0.816968,0.816968,0.91923,"0,1,2,3,4,7,8,10,14"
tsvit-pheno,sin mecanismo,9,2,4533,1.0,0.546317,0.546317,0.735275,"0,1,2,3,4,6,7,8,14"
tsvit-pheno,sin mecanismo,9,3,4528,1.0,0.811842,0.811842,0.901281,"0,1,2,3,4,7,8,10,14"
tsvit-pheno,sin mecanismo,9,4,1313,1.0,0.726789,0.726789,0.869002,"0,1,2,3,4,7,8,10,14"
tsvit-pheno,rechazo por confianza,8,0,1883,0.938216,0.928847,0.594441,0.938396,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,8,1,3935,0.923926,0.977951,0.663055,0.949682,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,8,2,2660,0.586808,0.69579,0.640492,0.884211,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,8,3,4040,0.892226,0.825439,0.677835,0.945297,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,rechazo por confianza,8,4,1182,0.900228,0.76922,0.529102,0.916244,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
tsvit-pheno,retirada por F1,8,0,1883,0.938216,0.893684,0.893684,0.909719,"0,1,2,3,4,7,8,14"
tsvit-pheno,retirada por F1,8,1,3935,0.923926,0.956995,0.956995,0.934943,"0,1,2,3,4,7,8,14"
tsvit-pheno,retirada por F1,8,2,2660,0.586808,0.635811,0.635811,0.76015,"0,1,2,3,4,7,8,14"
tsvit-pheno,retirada por F1,8,3,4040,0.892226,0.802939,0.802939,0.915594,"0,1,2,4,7,8,10,14"
tsvit-pheno,retirada por F1,8,4,1182,0.900228,0.736522,0.736522,0.886633,"0,1,2,3,4,7,8,14"
tsvit-pheno,retirada por soporte,8,0,1808,0.900847,0.712093,0.712093,0.904867,"0,1,2,3,7,11,13,15"
tsvit-pheno,retirada por soporte,8,1,3811,0.894811,0.707852,0.707852,0.924692,"0,1,2,3,7,11,13,15"
tsvit-pheno,retirada por soporte,8,2,3201,0.706155,0.647938,0.647938,0.74508,"0,1,2,3,4,7,11,13"
tsvit-pheno,retirada por soporte,8,3,4093,0.903931,0.734563,0.734563,0.908136,"0,1,2,3,7,11,13,15"
tsvit-pheno,retirada por soporte,8,4,1176,0.895659,0.620155,0.620155,0.87585,"0,1,2,3,7,11,13,15"
tsvit-pheno,sin mecanismo,8,0,2007,1.0,0.888349,0.888349,0.899352,"0,1,2,3,4,7,8,14"
tsvit-pheno,sin mecanismo,8,1,4259,1.0,0.953129,0.953129,0.91923,"0,1,2,3,4,7,8,14"
tsvit-pheno,sin mecanismo,8,2,4533,1.0,0.518969,0.518969,0.735275,"0,1,2,3,4,7,8,14"
tsvit-pheno,sin mecanismo,8,3,4528,1.0,0.796182,0.796182,0.901281,"0,1,2,4,7,8,10,14"
tsvit-pheno,sin mecanismo,8,4,1313,1.0,0.726789,0.726789,0.869002,"0,1,2,3,4,7,8,14"
xgb-alphaearth,rechazo por confianza,18,0,2007,1.0,0.394952,0.394952,0.752865,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,18,1,4259,1.0,0.402119,0.402119,0.779291,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
xgb-alphaearth,rechazo por confianza,18,2,4533,1.0,0.392396,0.392396,0.709464,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
